"Source ID","IMDb ID","Movie Name","Genre","Rating","Duration"
"OMDB","tt0111161","The Shawshank Redemption","Drama","R","2H22M"
"TMDB","tt0111161","The Shawshank Redemption","Drama, Crime","R","2H22M"
"Rotten Tomatoes","tt0111161","The Shawshank Redemption","Drama","R","2H22M"
"Allmovies.com","tt0111161","The Shawshank Redemption","Comedy, Crime, Drama","R","2H22M"
"justwatch.com","tt0111161","The Shawshank Redemption","Crime, Drama, Courtroom","R","2H20M"
"Metacritic","tt0111161","The Shawshank Redemption","Drama","TV-14","2H22M"
"OMDB","tt0068646","The Godfather","Crime, Drama","R","2H55M"
"TMDB","tt0068646","The Godfather","Drama, Crime","R","2H55M"
"Rotten Tomatoes","tt0068646","The Godfather","Crime, Drama","R","2H57M"
"Allmovies.com","tt0068646","The Godfather","Crime, Drama","R","2H55M"
"justwatch.com","tt0068646","The Godfather","Drama, Crime, Organized Crime","R","2H55M"
"Metacritic","tt0068646","The Godfather","Crime, Drama","TV-14","2H55M"
"OMDB","tt0468569","The Dark Knight","Action, Crime, Drama","PG-13","2H32M"
"TMDB","tt0468569","The Dark Knight","Drama, Action, Crime, Thriller","PG-13","2H32M"
"Rotten Tomatoes","tt0468569","The Dark Knight","Action, Adventure, Fantasy","PG-13","2H32M"
"Allmovies.com","tt0468569","The Dark Knight","Action-Adventure, Crime, Drama, Fantasy, Thriller","PG-13","2H32M"
"justwatch.com","tt0468569","The Dark Knight","Mystery & Thriller, Action & Adventure, Crime, Drama, Superhero, Action Thriller","PG-13","2H32M"
"Metacritic","tt0468569","The Dark Knight","Action, Crime, Drama, Thriller","TV-14","2H32M"
"OMDB","tt0071562","The Godfather Part II","Crime, Drama","R","3H22M"
"TMDB","tt0071562","The Godfather Part II","Drama, Crime","R","3H22M"
"Rotten Tomatoes","tt0071562","The Godfather, Part II","Crime, Drama","R","3H20M"
"Allmovies.com","tt0071562","The Godfather Part II","Crime, Drama","R","3H22M"
"justwatch.com","tt0071562","The Godfather Part II","Drama, Crime, Organized Crime","R","3H22M"
