"IMDb ID","Movie Name","Genre","Rating","Duration"
"tt0111161","The Shawshank Redemption","Drama","R","2H22M"
"tt0068646","The Godfather","Crime, Drama","R","2H55M"
"tt0468569","The Dark Knight","Action, Crime, Drama","PG-13","2H32M"
"tt0071562","The Godfather Part II","Crime, Drama","R","3H22M"
"tt0050083","12 Angry Men","Crime, Drama","Approved","1H36M"
"tt0167260","The Lord of the Rings: The Return of the King","Action, Adventure, Drama","PG-13","3H21M"
"tt0108052","Schindler's List","Biography, Drama, History","R","3H15M"
"tt0110912","Pulp Fiction","Crime, Drama","R","2H34M"
"tt0120737","The Lord of the Rings: The Fellowship of the Ring","Action, Adventure, Drama","PG-13","2H58M"
"tt0060196","The Good, the Bad and the Ugly","Adventure, Drama, Western","R","2H58M"
"tt0109830","Forrest Gump","Drama, Romance","PG-13","2H22M"
"tt0167261","The Lord of the Rings: The Two Towers","Action, Adventure, Drama","PG-13","2H59M"
"tt0137523","Fight Club","Drama","R","2H19M"
"tt1375666","Inception","Action, Adventure, Sci-Fi","PG-13","2H28M"
"tt0080684","Star Wars: Episode V - The Empire Strikes Back","Action, Adventure, Fantasy","PG","2H4M"
"tt0133093","The Matrix","Action, Sci-Fi","R","2H16M"
"tt0099685","Goodfellas","Biography, Crime, Drama","R","2H25M"
"tt0073486","One Flew Over the Cuckoo's Nest","Drama","R","2H13M"
"tt0816692","Interstellar","Adventure, Drama, Sci-Fi","PG-13","2H49M"
"tt0114369","Se7en","Crime, Drama, Mystery","R","2H7M"
"tt0038650","It's a Wonderful Life","Drama, Family, Fantasy","PG","2H10M"
"tt0047478","Seven Samurai","Action, Drama","Not Rated","3H27M"
"tt0102926","The Silence of the Lambs","Crime, Drama, Thriller","R","1H58M"
"tt0120815","Saving Private Ryan","Drama, War","R","2H49M"
"tt0317248","City of God","Crime, Drama","R","2H10M"
"tt0118799","Life Is Beautiful","Comedy, Drama, Romance","PG-13","1H56M"
"tt0120689","The Green Mile","Crime, Drama, Fantasy","R","3H9M"
"tt0103064","Terminator 2: Judgment Day","Action, Adventure, Sci-Fi","R","2H17M"
"tt0076759","Star Wars: Episode IV - A New Hope","Action, Adventure, Fantasy","PG","2H1M"
"tt0088763","Back to the Future","Adventure, Comedy, Sci-Fi","PG","1H56M"
"tt0245429","Spirited Away","Animation, Adventure, Family","PG","2H4M"
"tt0253474","The Pianist","Biography, Drama, Music","R","2H30M"
"tt6751668","Parasite","Drama, Thriller","R","2H12M"
"tt0054215","Psycho","Horror, Mystery, Thriller","R","1H49M"
"tt0172495","Gladiator","Action, Adventure, Drama","R","2H35M"
"tt0110357","The Lion King","Animation, Adventure, Drama","G","1H28M"
"tt9362722","Spider-Man: Across the Spider-Verse","Animation, Action, Adventure","PG","2H20M"
"tt0407887","The Departed","Crime, Drama, Thriller","R","2H31M"
"tt2582802","Whiplash","Drama, Music","R","1H46M"
"tt0095327","Grave of the Fireflies","Animation, Drama, War","Not Rated","1H28M"
"tt0120586","American History X","Crime, Drama","R","1H59M"
"tt0110413","Léon: The Professional","Action, Crime, Drama","R","1H50M"
"tt0482571","The Prestige","Drama, Mystery, Sci-Fi","PG-13","2H10M"
"tt0056058","Harakiri","Action, Drama, Mystery","Not Rated","2H13M"
"tt0114814","The Usual Suspects","Crime, Drama, Mystery","R","1H46M"
"tt0034583","Casablanca","Drama, Romance, War","PG","1H42M"
"tt15239678","Dune: Part Two","Action, Adventure, Drama","PG-13","2H46M"
"tt1675434","The Intouchables","Comedy, Drama","R","1H52M"
"tt0095765","Cinema Paradiso","Drama, Romance","PG","2H54M"
"tt0027977","Modern Times","Comedy, Drama, Romance","G","1H27M"
"tt0078748","Alien","Horror, Sci-Fi","R","1H57M"
"tt0047396","Rear Window","Mystery, Thriller","PG","1H52M"
"tt0064116","Once Upon a Time in the West","Drama, Western","PG-13","2H46M"
"tt1853728","Django Unchained","Comedy, Drama, Western","R","2H45M"
"tt0021749","City Lights","Comedy, Drama, Romance","G","1H27M"
"tt0078788","Apocalypse Now","Drama, Mystery, War","R","2H27M"
"tt0209144","Memento","Mystery, Thriller","R","1H53M"
"tt0910970","WALL·E","Animation, Adventure, Family","G","1H38M"
"tt0082971","Raiders of the Lost Ark","Action, Adventure","PG","1H55M"
"tt23849204","12th Fail","Biography, Drama","","2H27M"
"tt0405094","The Lives of Others","Drama, Mystery, Thriller","R","2H17M"
"tt0043014","Sunset Boulevard","Drama, Film-Noir","Approved","1H50M"
"tt4154756","Avengers: Infinity War","Action, Adventure, Sci-Fi","PG-13","2H29M"
"tt0050825","Paths of Glory","Drama, War","Approved","1H28M"
"tt4633694","Spider-Man: Into the Spider-Verse","Animation, Action, Adventure","PG","1H57M"
"tt0051201","Witness for the Prosecution","Crime, Drama, Mystery","Approved","1H56M"
"tt0081505","The Shining","Drama, Horror","R","2H26M"
"tt0032553","The Great Dictator","Comedy, Drama, War","G","2H5M"
"tt0090605","Aliens","Action, Adventure, Sci-Fi","R","2H17M"
"tt0361748","Inglourious Basterds","Adventure, Drama, War","R","2H33M"
"tt1345836","The Dark Knight Rises","Action, Drama, Thriller","PG-13","2H44M"
"tt2380307","Coco","Animation, Adventure, Drama","PG","1H45M"
"tt0086879","Amadeus","Biography, Drama, Music","PG","2H40M"
"tt0114709","Toy Story","Animation, Adventure, Comedy","G","1H21M"
"tt0057012","Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","Comedy, War","PG","1H35M"
"tt0364569","Oldboy","Action, Drama, Mystery","R","2H"
"tt0169547","American Beauty","Drama","R","2H2M"
"tt4154796","Avengers: Endgame","Action, Adventure, Drama","PG-13","3H1M"
"tt0082096","Das Boot","Drama, War","","2H29M"
"tt0112573","Braveheart","Biography, Drama, War","R","2H58M"
"tt0119217","Good Will Hunting","Drama, Romance","R","2H6M"
"tt0119698","Princess Mononoke","Animation, Action, Adventure","PG-13","2H13M"
"tt5311514","Your Name.","Animation, Drama, Fantasy","","1H46M"
